GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "09000","Connecticut",1,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",853,918,970,1040,1134,1262,1333,1417,1556,1733,1959,2385,2925,3239,3351,3836,3940,4149,4344,4802,5663,5753,5520,5639,5856,6039,6349,6598,6933,7341,7354,8033,8137,7635,7825,8410,9244,10844,12144,12471,10796,10886,11864,13006,12692,14142,14717,15294,15717,16788,17118
 "09000","Connecticut",1,CAINC30,180,"..."," Earnings by place of work","Thousands of dollars",11216107,11805244,12214542,13284473,14713869,15915596,16562589,18028462,20062407,22589799,25468875,28315015,31034652,33122451,35734569,40227797,43804516,47589853,52884396,58459077,61642269,63504193,64366299,67768010,70456081,72754526,76025934,79513120,86175406,92892670,100032956,109881377,116958673,117738050,119013145,123986851,129210927,135801253,143290602,150903899,152975814,157372857,158819876,157217633,155950991,160376692,163870072,166830092,169055222,172840492,177410428
 "09000","Connecticut",1,CAINC30,190,"...","  Wages and salaries","Thousands of dollars",9056945,9580507,9836242,10652406,11802804,12819275,13184953,14169047,15580560,17496135,19762686,22147341,24267534,26032828,27949151,31253757,34056346,37073889,41055175,45115703,47170117,48671206,48935033,50576294,51894304,53432964,56049223,59094922,64087294,68510384,72496956,78195987,80744831,79812306,81417763,85974140,89732106,94440674,100686169,101543163,96173489,97781547,101498661,104234886,105453736,108999698,112382932,113257509,114731041,117030798,120355286
 "09000","Connecticut",1,CAINC30,200,"...","  Supplements to wages and salaries","Thousands of dollars",1067175,1142496,1222281,1420562,1614831,1803499,2017744,2224762,2591510,2976884,3453346,3908920,4462926,4937237,5419846,6045500,6647106,7318849,8014431,8792643,9522226,9884720,10221884,10925556,11478936,11629035,11950989,12242267,12851196,13573486,14396661,15535589,16728645,17119853,18256479,19983794,20812997,20831090,21903948,22575214,22136941,22687230,23122846,23113582,23705874,24062578,25164931,25478057,25650690,26413086,26582912
 "09000","Connecticut",1,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",676469,738389,790053,912338,966494,1075522,1281852,1385788,1630303,1849763,2143854,2489891,2810457,3153797,3457066,3735513,4178159,4648528,5132086,5565502,6188615,6500623,6764626,7339108,7749664,7735508,7890744,8001510,8381226,8901247,9551210,10374237,11422894,11480404,12492833,13939175,14638202,14554962,15361306,15822301,15520778,16021603,16155051,15910493,16384319,16574292,17450476,17671500,17695224,18317786,18356723
 "09000","Connecticut",1,CAINC30,202,"...","   Employer contributions for government social insurance","Thousands of dollars",390706,404107,432228,508224,648337,727977,735892,838974,961207,1127121,1309492,1419029,1652469,1783440,1962780,2309987,2468947,2670321,2882345,3227141,3333611,3384097,3457258,3586448,3729272,3893527,4060245,4240757,4469970,4672239,4845451,5161352,5305751,5639449,5763646,6044619,6174795,6276128,6542642,6752913,6616163,6665627,6967795,7203089,7321555,7488286,7714455,7806557,7955466,8095300,8226189
 "09000","Connecticut",1,CAINC30,210,"...","  Proprietors' income","Thousands of dollars",1091987,1082241,1156019,1211505,1296234,1292822,1359892,1634653,1890337,2116780,2252843,2258754,2304192,2152386,2365572,2928540,3101064,3197115,3814790,4550731,4949926,4948267,5209382,6266160,7082841,7692527,8025722,8175931,9236916,10808800,13139339,16149801,19485197,20805891,19338903,18028917,18665824,20529489,20700485,26785522,34665384,36904080,34198369,29869165,26791381,27314416,26322209,28094526,28673491,29396608,30472230
 "09000","Connecticut",1,CAINC30,220,"...","   Farm proprietors' income","Thousands of dollars",33299,37536,34174,28716,36467,35315,23485,28194,19294,32766,27913,30864,31768,56146,53034,74138,69313,83133,82123,88184,67843,99746,80657,106003,117264,92493,66889,48666,38755,57923,79447,92918,59405,13243,31639,46638,67447,38508,41037,57256,58384,68572,69731,75396,79859,-3211,34130,-7452,42906,44588,100621
 "09000","Connecticut",1,CAINC30,230,"...","   Nonfarm proprietors' income","Thousands of dollars",1058688,1044705,1121845,1182789,1259767,1257507,1336407,1606459,1871043,2084014,2224930,2227890,2272424,2096240,2312538,2854402,3031751,3113982,3732667,4462547,4882083,4848521,5128725,6160157,6965577,7600034,7958833,8127265,9198161,10750877,13059892,16056883,19425792,20792648,19307264,17982279,18598377,20490981,20659448,26728266,34607000,36835508,34128638,29793769,26711522,27317627,26288079,28101978,28630585,29352020,30371609
 "09000","Connecticut",1,CAINC30,240,"...","Total employment (number of jobs)","Number of jobs",1417073,1414365,1388432,1416201,1480137,1511144,1467829,1492880,1546330,1615435,1673099,1705461,1726723,1725903,1743012,1823137,1879427,1937316,1984300,2039047,2032338,2003473,1923121,1903803,1924516,1906480,1943744,1974521,2000349,2036825,2070018,2118177,2125253,2117734,2112290,2144331,2171980,2202108,2245720,2256043,2196161,2171933,2206269,2223221,2246561,2266029,2288113,2300038,2300325,2316626,2331726
