GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "49000","Utah",7,CAINC30,250,"..."," Wage and salary employment","Number of jobs",382638,392893,404533,428335,452582,470229,474760,495603,523238,559242,580777,582877,590461,594538,601513,638739,663027,672882,681654,706603,737677,772044,792208,815097,853785,901416,950090,999751,1040572,1070842,1097247,1124807,1130770,1125887,1126689,1158072,1200077,1258019,1306880,1307417,1241969,1235051,1262617,1303995,1342353,1381259,1428555,1480591,1526420,1577719,1622060
 "49000","Utah",7,CAINC30,260,"..."," Proprietors employment","Number of jobs",61027,61719,62412,65748,69970,74463,77939,84709,89456,92069,97220,104282,106416,112392,117597,122463,125541,128310,148723,158448,159489,166174,168652,163593,172206,200899,200130,217854,229305,238810,240928,255731,260987,269435,279099,295333,317489,334717,369514,380733,392013,385748,401809,402065,411018,422694,437371,452831,466920,490412,504957
 "49000","Utah",7,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",14376,13882,13491,13047,12663,12639,12708,12817,13009,13115,13391,13666,13930,14118,15081,14976,14932,14613,14240,13796,13642,13771,13817,13773,14997,14810,15262,15037,15059,15093,15516,15710,15667,15357,14449,14000,13709,13221,14372,14528,14873,15262,15709,15724,16104,16114,16195,16215,16210,15941,15679
 "49000","Utah",7,CAINC30,280,"...","  Nonfarm proprietors employment","Number of jobs",46651,47837,48921,52701,57307,61824,65231,71892,76447,78954,83829,90616,92486,98274,102516,107487,110609,113697,134483,144652,145847,152403,154835,149820,157209,186089,184868,202817,214246,223717,225412,240021,245320,254078,264650,281333,303780,321496,355142,366205,377140,370486,386100,386341,394914,406580,421176,436616,450710,474471,489278
 "49000","Utah",7,CAINC30,290,"...","Average earnings per job (dollars)","Dollars",6367,6822,7367,7796,8282,8850,9588,10453,11271,12209,13264,14423,15881,16651,17403,18297,18896,19476,19645,20248,20889,21885,23040,24631,25403,25680,26589,27237,28372,29518,30771,31686,32755,33402,34257,35693,36923,39341,40131,40607,40135,41302,42693,44819,45853,47020,48461,49185,50407,52363,54148
 "49000","Utah",7,CAINC30,300,"..."," Average wages and salaries","Dollars",5744,6154,6558,6890,7285,7849,8520,9247,9967,10802,11817,13089,14583,15403,16017,16708,17160,17556,18054,18611,19079,19782,20725,21723,22169,22907,23787,24621,25745,26908,27917,29316,30304,30946,31670,32907,34056,35826,37647,38696,39344,40164,41142,42243,42723,43851,45256,46148,47517,49440,51586
 "49000","Utah",7,CAINC30,310,"..."," Average nonfarm proprietors' income","Dollars",6150,6226,6758,7117,7172,7548,8163,9278,9966,10658,10745,10248,9808,9190,9740,10463,10647,11155,10000,9997,9631,10316,10856,11973,13741,13252,13975,14208,15366,15625,16580,14754,14100,14755,14904,15314,16209,19537,16987,14957,12377,13815,14875,20507,20630,22208,23412,23570,23429,24255,24526
 "49001","Beaver, UT",7,CAINC30,10,"...","Personal income (thousands of dollars)","Thousands of dollars",10127,11093,12429,14095,15720,17245,17918,20569,23046,25295,27072,29651,33255,36389,40458,44996,49238,46730,49522,53373,56421,59676,63332,68382,75176,73127,77025,89144,102553,107016,118688,135067,152383,136636,136826,159263,159283,141525,155928,163026,180506,182307,190866,196271,216965,215924,191794,183734,213775,241969,274367
 "49001","Beaver, UT",7,CAINC30,45,"..."," Net earnings by place of residence","Thousands of dollars",7339,7944,8815,10006,11000,11781,11317,13365,15135,16517,17343,18381,20098,21298,23625,26118,27713,25069,27605,30952,31956,34815,37276,40092,41420,42652,43304,53391,64880,67144,77761,92142,106016,91327,90839,112896,111119,89442,94168,98862,110695,112074,117059,121754,139384,136674,109625,96082,118483,141072,167518
 "49001","Beaver, UT",7,CAINC30,50,"..."," Personal current transfer receipts","Thousands of dollars",1321,1540,1793,2040,2363,2688,3499,3859,4150,4565,5016,5690,6653,7576,8254,8591,9198,9445,10038,10614,11919,12692,13388,15823,16328,16693,18201,18826,19341,19665,20751,22312,23392,24607,25656,26645,27847,30455,33561,35334,39181,41595,42350,42081,44227,45038,46592,49437,52423,55525,59422
 "49001","Beaver, UT",7,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",52,72,65,100,85,107,147,219,230,268,256,377,420,447,506,514,452,586,606,725,843,988,852,1149,1110,1274,1302,1512,1618,1518,1475,1550,1428,1571,1815,2076,2368,2329,2852,3029,4241,4732,4643,4738,4331,4148,4007,3977,4530,4318,4798
 "49001","Beaver, UT",7,CAINC30,70,"...","  Unemployment insurance compensation","Thousands of dollars",65,66,79,88,67,87,341,214,179,148,177,194,206,348,346,219,448,256,247,182,150,148,183,279,284,181,183,263,286,272,229,282,423,689,663,389,310,256,270,580,1533,2268,1377,884,604,412,404,545,414,329,309
 "49001","Beaver, UT",7,CAINC30,80,"...","  Retirement and other","Thousands of dollars",1204,1402,1649,1852,2211,2494,3011,3426,3741,4149,4583,5119,6027,6781,7402,7858,8298,8603,9185,9707,10926,11556,12353,14395,14934,15238,16716,17051,17437,17875,19047,20480,21541,22347,23178,24180,25169,27870,30439,31725,33407,34595,36330,36459,39292,40478,42181,44915,47479,50878,54315
 "49001","Beaver, UT",7,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",1467,1609,1821,2049,2357,2776,3102,3345,3761,4213,4713,5580,6504,7515,8579,10287,12327,12216,11879,11807,12546,12169,12668,12467,17428,13782,15520,16927,18332,20207,20176,20613,22975,20702,20331,19722,20317,21628,28199,28830,30630,28638,31457,32436,33354,34212,35577,38215,42869,45372,47427
 "49001","Beaver, UT",7,CAINC30,100,"..."," Population (persons) 3/","Number of persons",3900,3798,3830,3864,3993,3976,4064,4074,4064,4194,4240,4408,4518,4678,4771,4969,5087,4968,4876,4739,4726,4769,4798,4929,5001,5159,5394,5687,5851,5883,5978,5998,5999,6058,6039,6077,6192,6281,6266,6413,6552,6655,6559,6500,6457,6432,6353,6478,6421,6625,6710
 "49001","Beaver, UT",7,CAINC30,110,"..."," Per capita personal income 4/","Dollars",2597,2921,3245,3648,3937,4337,4409,5049,5671,6031,6385,6727,7361,7779,8480,9055,9679,9406,10156,11263,11938,12513,13200,13873,15032,14175,14280,15675,17527,18191,19854,22519,25401,22555,22657,26208,25724,22532,24885,25421,27550,27394,29100,30196,33602,33570,30190,28363,33293,36524,40889
 "49001","Beaver, UT",7,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",1882,2092,2302,2590,2755,2963,2785,3281,3724,3938,4090,4170,4448,4553,4952,5256,5448,5046,5661,6531,6762,7300,7769,8134,8282,8267,8028,9388,11089,11413,13008,15362,17672,15075,15042,18578,17946,14240,15028,15416,16895,16841,17847,18731,21586,21249,17256,14832,18452,21294,24965
 "49001","Beaver, UT",7,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",339,405,468,528,592,676,861,947,1021,1088,1183,1291,1473,1619,1730,1729,1808,1901,2059,2240,2522,2661,2790,3210,3265,3236,3374,3310,3306,3343,3471,3720,3899,4062,4248,4385,4497,4849,5356,5510,5980,6250,6457,6474,6849,7002,7334,7632,8164,8381,8856
 "49001","Beaver, UT",7,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",13,19,17,26,21,27,36,54,57,64,60,86,93,96,106,103,89,118,124,153,178,207,178,233,222,247,241,266,277,258,247,258,238,259,301,342,382,371,455,472,647,711,708,729,671,645,631,614,705,652,715
 "49001","Beaver, UT",7,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",17,17,21,23,17,22,84,53,44,35,42,44,46,74,73,44,88,52,51,38,32,31,38,57,57,35,34,46,49,46,38,47,71,114,110,64,50,41,43,90,234,341,210,136,94,64,64,84,64,50,46
