region_code,region_name,division_code,division_name,state_abbr,state_code,state_name,year,popestimate,npopchg,births,deaths,naturalinc,internationalmig,domesticmig,netmig,residual,rbirth,rdeath,rnaturalinc,rinternationalmig,rdomesticmig,rnetmig,percap_real_inc,employment_10,employment_20,employment_40,employment_50,employment_60,employment_70,employment_80,employment_90,employment_100,employment_200,employment_300,employment_400,employment_500,employment_600,employment_700,employment_800,employment_900,employment_1000,employment_1100,employment_1200,employment_1300,employment_1400,employment_1500,employment_1600,employment_1700,employment_1800,employment_1900,employment_2000,employment_2001,employment_2002,employment_2010,employment_2011,employment_2012
3,South,5,South Atlantic,DC,11,District of Columbia,2018,701547,6641,9523,5321,4202,2749,-318,2431,8,13.638841,7.6207361,6.0181046,3.9371178,-.4554396,3.4816782,58469,834413,749247,85166,0,85166,0,834413,577997,73,472,1918,16460,1575,5535,22494,7006,19884,24233,24998,126648,2397,50971,53460,68595,13767,60823,76688,256416,203982,15635,36799,0,36799
3,South,5,South Atlantic,FL,12,Florida,2019,21477737,233420,221695,211692,10003,88678,133910,222588,829,10.37848,9.9101973,.46828273,4.151392,6.2688932,10.420285,41304,11673482,8735345,2938137,39019,2899118,79172,11594310,10417589,60811,27436,27067,667678,398719,384368,1285156,445761,175877,680363,716446,806603,137375,942649,223749,1287923,344157,1016894,788557,1176721,137602,91573,947546,255036,692510
3,South,5,South Atlantic,FL,12,Florida,2018,21244317,280704,223066,209998,13068,131600,135530,267130,506,10.569862,9.9506416,.61922014,6.235795,6.4220161,12.657811,47445,10383866,8381988,2001878,34112,1967766,81105,10302761,9106640,62517,14010,26062,860361,433441,387596,1178080,314186,198283,528464,578695,661843,82651,927124,160651,992791,266207,787042,646636,1196121,127927,103030,965164,246676,718488
3,South,5,South Atlantic,FL,12,Florida,2018,21244317,280704,223066,209998,13068,131600,135530,267130,506,10.569862,9.9506416,.61922014,6.235795,6.4220161,12.657811,40674,9644326,7890743,1753583,36179,1717404,88398,9555928,8393737,62583,12671,25196,698599,416098,361083,1107941,291360,195910,481613,472413,604470,75118,914841,142654,925827,250481,738181,616698,1162191,127007,104915,930269,247808,682461
3,South,5,South Atlantic,FL,12,Florida,2018,21244317,280704,223066,209998,13068,131600,135530,267130,506,10.569862,9.9506416,.61922014,6.235795,6.4220161,12.657811,39025,10067189,8163188,1904001,35397,1868604,80432,9986757,8808238,62074,13491,25468,798298,424253,375603,1147553,306880,199896,507124,545516,634079,79169,943797,150906,946165,258450,762372,627144,1178519,128946,101570,948003,247941,700062
3,South,5,South Atlantic,GA,13,Georgia,2019,10617423,106292,127873,86319,41554,15053,49680,64733,5,12.104283,8.1708384,3.9334447,1.4248964,4.702641,6.1275373,40483,5384572,4123085,1261487,35401,1226086,51607,5332965,4555037,24398,10434,20693,262060,373770,219353,541974,219277,119220,264265,225375,356928,61595,418353,109284,502643,98447,382890,344078,777928,102633,99149,576146,169181,406965
3,South,5,South Atlantic,GA,13,Georgia,2018,10511131,100801,128547,84569,43978,16863,39981,56844,-21,12.28853,8.0844259,4.2041039,1.612029,3.8220084,5.4340372,46820,5211352,4028041,1183311,37197,1146114,50833,5160519,4363565,22542,9772,20875,268875,361976,213198,526554,205120,116065,248431,224832,340853,57228,394799,106916,478961,91090,363590,311888,796954,107786,103494,585674,167291,418383
4,West,9,Pacific,HI,15,Hawaii,2018,1420593,-3800,17173,12454,4719,4412,-12910,-8498,-21,12.072467,8.7550516,3.3174152,3.1015971,-9.0756159,-5.9740191,42435,858402,692977,165425,6006,159419,11661,846741,666346,3603,966,3378,49701,18309,22468,87275,30446,12213,29324,39394,45326,7722,56623,18801,71436,22367,99869,47125,180395,32254,56047,92094,73221,18873
4,West,9,Pacific,HI,15,Hawaii,2019,1415872,-4721,16878,12748,4130,5014,-13817,-8803,-48,11.900728,8.9886532,2.9120755,3.5353866,-9.7424078,-6.2070217,43687,757721,631037,126684,4795,121889,11978,745743,574998,4177,417,2752,33875,18413,19751,81070,26826,12983,23527,29777,38002,6753,48796,15378,60702,19538,90011,42250,170745,30751,52919,87075,69598,17477
4,West,8,Mountain,ID,16,Idaho,2018,1750536,32821,22054,13451,8603,122,24020,24142,76,12.717649,7.7566476,4.9610019,.070352465,13.851362,13.921715,36684,878541,646362,232179,22683,209496,39387,839154,712334,11897,4561,2960,50743,60198,29357,99178,25706,12177,39884,44656,52685,6350,49377,14719,91003,17544,56085,43254,126820,12728,9552,104540,29376,75164
