"","Group","Year","State","Age.Group","COVID.19.Deaths_Hypertensive diseases","COVID.19.Deaths_Diabetes","COVID.19.Deaths_Obesity","Number.of.Mentions_Hypertensive diseases","Number.of.Mentions_Diabetes","Number.of.Mentions_Obesity"
"1","By Year",2021,"Alabama","0-24",0,0,0,0,0,0
"2","By Year",2021,"Alabama","25-34",NA,NA,NA,NA,NA,NA
"3","By Year",2021,"Alabama","35-44",12,12,14,12,12,14
"4","By Year",2021,"Alabama","45-54",15,30,16,15,30,16
"5","By Year",2021,"Alabama","55-64",54,82,26,55,84,26
"6","By Year",2021,"Alabama","65-74",126,138,23,126,138,23
"7","By Year",2021,"Alabama","75-84",110,133,16,111,135,16
"8","By Year",2021,"Alabama","85+",98,54,NA,101,58,NA
"9","By Year",2021,"Alabama","Not stated",0,0,0,0,0,0
"10","By Year",2021,"Alabama","All Ages",416,453,97,421,461,97
"11","By Year",2021,"Alaska","0-24",0,0,0,0,0,0
"12","By Year",2021,"Alaska","25-34",NA,NA,NA,NA,NA,NA
"13","By Year",2021,"Alaska","35-44",0,0,0,0,0,0
"14","By Year",2021,"Alaska","45-54",NA,NA,NA,NA,NA,NA
"15","By Year",2021,"Alaska","55-64",NA,NA,NA,NA,NA,NA
"16","By Year",2021,"Alaska","65-74",NA,NA,0,NA,NA,0
"17","By Year",2021,"Alaska","75-84",NA,NA,0,NA,NA,0
"18","By Year",2021,"Alaska","85+",NA,NA,0,NA,NA,0
"19","By Year",2021,"Alaska","Not stated",0,0,0,0,0,0
"20","By Year",2021,"Alaska","All Ages",16,NA,NA,17,NA,NA
"21","By Year",2021,"Arizona","0-24",NA,NA,NA,NA,NA,NA
"22","By Year",2021,"Arizona","25-34",NA,11,16,NA,11,16
"23","By Year",2021,"Arizona","35-44",16,16,28,16,16,28
"24","By Year",2021,"Arizona","45-54",52,65,48,52,65,48
"25","By Year",2021,"Arizona","55-64",147,203,101,148,204,101
"26","By Year",2021,"Arizona","65-74",233,278,86,233,279,86
"27","By Year",2021,"Arizona","75-84",328,284,32,331,286,32
"28","By Year",2021,"Arizona","85+",264,118,10,267,118,10
"29","By Year",2021,"Arizona","Not stated",0,0,0,0,0,0
"30","By Year",2021,"Arizona","All Ages",NA,976,325,NA,980,325
"31","By Year",2021,"Arkansas","0-24",0,NA,NA,0,NA,NA
"32","By Year",2021,"Arkansas","25-34",0,NA,NA,0,NA,NA
"33","By Year",2021,"Arkansas","35-44",NA,NA,NA,NA,NA,NA
"34","By Year",2021,"Arkansas","45-54",15,15,11,15,16,11
"35","By Year",2021,"Arkansas","55-64",33,39,14,33,39,14
"36","By Year",2021,"Arkansas","65-74",102,82,14,102,83,14
"37","By Year",2021,"Arkansas","75-84",104,84,NA,106,84,NA
"38","By Year",2021,"Arkansas","85+",96,36,NA,96,36,NA
"39","By Year",2021,"Arkansas","Not stated",0,0,0,0,0,0
"40","By Year",2021,"Arkansas","All Ages",356,264,55,358,266,55
"41","By Year",2021,"California","0-24",NA,NA,12,NA,NA,12
"42","By Year",2021,"California","25-34",20,57,77,21,57,77
"43","By Year",2021,"California","35-44",89,190,138,89,191,139
"44","By Year",2021,"California","45-54",335,593,309,335,597,309
"45","By Year",2021,"California","55-64",NA,NA,445,NA,NA,445
"46","By Year",2021,"California","65-74",NA,NA,399,NA,NA,399
"47","By Year",2021,"California","75-84",NA,NA,192,NA,NA,192
"48","By Year",2021,"California","85+",NA,995,34,NA,997,34
"49","By Year",2021,"California","Not stated",0,0,0,0,0,0
"50","By Year",2021,"California","All Ages",NA,NA,NA,NA,NA,NA
"51","By Year",2021,"Colorado","0-24",0,NA,0,0,NA,0
"52","By Year",2021,"Colorado","25-34",NA,NA,NA,NA,NA,NA
"53","By Year",2021,"Colorado","35-44",NA,NA,NA,NA,NA,NA
"54","By Year",2021,"Colorado","45-54",17,22,28,17,22,28
"55","By Year",2021,"Colorado","55-64",40,50,36,41,50,36
"56","By Year",2021,"Colorado","65-74",73,85,28,74,85,28
"57","By Year",2021,"Colorado","75-84",107,92,15,109,96,15
"58","By Year",2021,"Colorado","85+",108,49,NA,108,51,NA
"59","By Year",2021,"Colorado","Not stated",0,0,0,0,0,0
"60","By Year",2021,"Colorado","All Ages",353,305,117,357,312,117
"61","By Year",2021,"Connecticut","0-24",0,0,NA,0,0,NA
"62","By Year",2021,"Connecticut","25-34",0,0,NA,0,0,NA
"63","By Year",2021,"Connecticut","35-44",NA,NA,NA,NA,NA,NA
"64","By Year",2021,"Connecticut","45-54",10,12,NA,10,13,NA
"65","By Year",2021,"Connecticut","55-64",23,21,19,23,21,19
"66","By Year",2021,"Connecticut","65-74",42,33,14,42,33,14
"67","By Year",2021,"Connecticut","75-84",57,64,NA,57,64,NA
"68","By Year",2021,"Connecticut","85+",107,56,NA,108,56,NA
"69","By Year",2021,"Connecticut","Not stated",0,0,0,0,0,0
"70","By Year",2021,"Connecticut","All Ages",241,190,65,242,191,65
"71","By Year",2021,"Delaware","0-24",0,0,0,0,0,0
"72","By Year",2021,"Delaware","25-34",0,0,0,0,0,0
"73","By Year",2021,"Delaware","35-44",0,0,NA,0,0,NA
"74","By Year",2021,"Delaware","45-54",NA,NA,NA,NA,NA,NA
"75","By Year",2021,"Delaware","55-64",NA,NA,NA,NA,NA,NA
"76","By Year",2021,"Delaware","65-74",20,19,15,20,19,15
"77","By Year",2021,"Delaware","75-84",31,25,NA,31,25,NA
"78","By Year",2021,"Delaware","85+",40,14,0,40,14,0
"79","By Year",2021,"Delaware","Not stated",0,0,0,0,0,0
"80","By Year",2021,"Delaware","All Ages",101,66,32,101,67,32
"81","By Year",2021,"District of Columbia","0-24",0,0,NA,0,0,NA
"82","By Year",2021,"District of Columbia","25-34",NA,NA,NA,NA,NA,NA
"83","By Year",2021,"District of Columbia","35-44",NA,NA,NA,NA,NA,NA
"84","By Year",2021,"District of Columbia","45-54",26,18,12,26,18,12
"85","By Year",2021,"District of Columbia","55-64",59,48,18,59,49,18
"86","By Year",2021,"District of Columbia","65-74",93,62,14,94,63,14
"87","By Year",2021,"District of Columbia","75-84",77,42,NA,77,42,NA
"88","By Year",2021,"District of Columbia","85+",67,34,0,67,34,0
"89","By Year",2021,"District of Columbia","Not stated",0,0,0,0,0,0
"90","By Year",2021,"District of Columbia","All Ages",326,211,54,327,214,54
"91","By Year",2021,"Florida","0-24",NA,NA,NA,NA,NA,NA
