region_code,region_name,division_code,division_name,state_abbr,state_code,state_name,year,race,povrate15,childpovrate15,obese_pct,highbloodpress_pct,diabetes_pct,foodinsec_15_17,popestimate,npopchg,births,deaths,naturalinc,internationalmig,domesticmig,netmig,residual,rbirth,rdeath,rnaturalinc,rinternationalmig,rdomesticmig,rnetmig,percap_real_inc,employment_10,employment_20,employment_40,employment_50,employment_60,employment_70,employment_80,employment_90,employment_100,employment_200,employment_300,employment_400,employment_500,employment_600,employment_700,employment_800,employment_900,employment_1000,employment_1100,employment_1200,employment_1300,employment_1400,employment_1500,employment_1600,employment_1700,employment_1800,employment_1900,employment_2000,employment_2001,employment_2002,employment_2010,employment_2011,employment_2012
4,West,9,Pacific,AK,2,Alaska,2017,6,13.08571428571429,18.16428571428571,28.6,21.1,,11.6,739700,-1756,10803,4463,6340,2612,-10753,-8141,45,14.587255,6.0263739,8.5608807,3.5269749,-14.51974,-10.992765,51343,455472,357000,98472,866,97606,1531,453941,350853,10002,17185,2237,22680,16069,7319,45811,24106,7135,11347,17450,23425,3467,17098,6009,52371,10946,35503,20693,103088,15105,25563,62420,23690,38730
4,West,9,Pacific,AK,2,Alaska,2017,7,13.08571428571429,18.16428571428571,32.3,20.6,,11.6,739700,-1756,10803,4463,6340,2612,-10753,-8141,45,14.587255,6.0263739,8.5608807,3.5269749,-14.51974,-10.992765,51343,455472,357000,98472,866,97606,1531,453941,350853,10002,17185,2237,22680,16069,7319,45811,24106,7135,11347,17450,23425,3467,17098,6009,52371,10946,35503,20693,103088,15105,25563,62420,23690,38730
4,West,8,Mountain,AZ,4,Arizona,2017,1,20.52,28.83333333333334,26.9,34.4,9.699999999999999,17.4,7044008,102936,83021,56333,26688,13385,62686,76071,177,11.872796,8.0561571,3.8166389,1.9141828,8.9646969,10.87888,42041,3740960,2883713,857247,17933,839314,30894,3710066,3260692,15995,21428,12899,203323,178653,109083,401470,144113,57479,243102,214261,240018,38790,307426,81385,418259,83459,298126,191423,449374,55844,33155,360375,92870,267505
4,West,8,Mountain,AZ,4,Arizona,2017,2,20.52,28.83333333333334,34.1,34.1,11.2,17.4,7044008,102936,83021,56333,26688,13385,62686,76071,177,11.872796,8.0561571,3.8166389,1.9141828,8.9646969,10.87888,42041,3740960,2883713,857247,17933,839314,30894,3710066,3260692,15995,21428,12899,203323,178653,109083,401470,144113,57479,243102,214261,240018,38790,307426,81385,418259,83459,298126,191423,449374,55844,33155,360375,92870,267505
4,West,8,Mountain,AZ,4,Arizona,2017,3,20.52,28.83333333333334,41.9,32.1,21.1,17.4,7044008,102936,83021,56333,26688,13385,62686,76071,177,11.872796,8.0561571,3.8166389,1.9141828,8.9646969,10.87888,42041,3740960,2883713,857247,17933,839314,30894,3710066,3260692,15995,21428,12899,203323,178653,109083,401470,144113,57479,243102,214261,240018,38790,307426,81385,418259,83459,298126,191423,449374,55844,33155,360375,92870,267505
4,West,8,Mountain,AZ,4,Arizona,2017,4,20.52,28.83333333333334,8.5,18.7,8.6,17.4,7044008,102936,83021,56333,26688,13385,62686,76071,177,11.872796,8.0561571,3.8166389,1.9141828,8.9646969,10.87888,42041,3740960,2883713,857247,17933,839314,30894,3710066,3260692,15995,21428,12899,203323,178653,109083,401470,144113,57479,243102,214261,240018,38790,307426,81385,418259,83459,298126,191423,449374,55844,33155,360375,92870,267505
4,West,8,Mountain,AZ,4,Arizona,2017,5,20.52,28.83333333333334,,,,17.4,7044008,102936,83021,56333,26688,13385,62686,76071,177,11.872796,8.0561571,3.8166389,1.9141828,8.9646969,10.87888,42041,3740960,2883713,857247,17933,839314,30894,3710066,3260692,15995,21428,12899,203323,178653,109083,401470,144113,57479,243102,214261,240018,38790,307426,81385,418259,83459,298126,191423,449374,55844,33155,360375,92870,267505
4,West,8,Mountain,AZ,4,Arizona,2017,6,20.52,28.83333333333334,34.4,23.4,6,17.4,7044008,102936,83021,56333,26688,13385,62686,76071,177,11.872796,8.0561571,3.8166389,1.9141828,8.9646969,10.87888,42041,3740960,2883713,857247,17933,839314,30894,3710066,3260692,15995,21428,12899,203323,178653,109083,401470,144113,57479,243102,214261,240018,38790,307426,81385,418259,83459,298126,191423,449374,55844,33155,360375,92870,267505
4,West,8,Mountain,AZ,4,Arizona,2017,7,20.52,28.83333333333334,35.4,23.2,10.9,17.4,7044008,102936,83021,56333,26688,13385,62686,76071,177,11.872796,8.0561571,3.8166389,1.9141828,8.9646969,10.87888,42041,3740960,2883713,857247,17933,839314,30894,3710066,3260692,15995,21428,12899,203323,178653,109083,401470,144113,57479,243102,214261,240018,38790,307426,81385,418259,83459,298126,191423,449374,55844,33155,360375,92870,267505
3,South,7,West South Central,AR,5,Arkansas,2017,1,21.16266666666666,31.21466666666666,33.8,42.4,12.6,13.10000000000002,3001345,11427,37737,32340,5397,2039,3981,6020,10,12.597343,10.79572,1.8016235,.6806578,1.3289351,2.009593,46038,1640411,1286488,353923,38561,315362,53012,1587399,1360255,14519,13235,7981,89895,163437,51188,173009,69798,16250,60615,59777,67316,36605,93545,23078,193389,21997,114443,90178,227144,20092,15837,191215,82352,108863
3,South,7,West South Central,AR,5,Arkansas,2017,2,21.16266666666666,31.21466666666666,45.3,47.9,12.9,13.10000000000002,3001345,11427,37737,32340,5397,2039,3981,6020,10,12.597343,10.79572,1.8016235,.6806578,1.3289351,2.009593,46038,1640411,1286488,353923,38561,315362,53012,1587399,1360255,14519,13235,7981,89895,163437,51188,173009,69798,16250,60615,59777,67316,36605,93545,23078,193389,21997,114443,90178,227144,20092,15837,191215,82352,108863
3,South,7,West South Central,AR,5,Arkansas,2017,3,21.16266666666666,31.21466666666666,50.2,32.5,,13.10000000000002,3001345,11427,37737,32340,5397,2039,3981,6020,10,12.597343,10.79572,1.8016235,.6806578,1.3289351,2.009593,46038,1640411,1286488,353923,38561,315362,53012,1587399,1360255,14519,13235,7981,89895,163437,51188,173009,69798,16250,60615,59777,67316,36605,93545,23078,193389,21997,114443,90178,227144,20092,15837,191215,82352,108863
3,South,7,West South Central,AR,5,Arkansas,2017,4,21.16266666666666,31.21466666666666,,,,13.10000000000002,3001345,11427,37737,32340,5397,2039,3981,6020,10,12.597343,10.79572,1.8016235,.6806578,1.3289351,2.009593,46038,1640411,1286488,353923,38561,315362,53012,1587399,1360255,14519,13235,7981,89895,163437,51188,173009,69798,16250,60615,59777,67316,36605,93545,23078,193389,21997,114443,90178,227144,20092,15837,191215,82352,108863
3,South,7,West South Central,AR,5,Arkansas,2017,5,21.16266666666666,31.21466666666666,,,,13.10000000000002,3001345,11427,37737,32340,5397,2039,3981,6020,10,12.597343,10.79572,1.8016235,.6806578,1.3289351,2.009593,46038,1640411,1286488,353923,38561,315362,53012,1587399,1360255,14519,13235,7981,89895,163437,51188,173009,69798,16250,60615,59777,67316,36605,93545,23078,193389,21997,114443,90178,227144,20092,15837,191215,82352,108863
3,South,7,West South Central,AR,5,Arkansas,2017,6,21.16266666666666,31.21466666666666,,42,,13.10000000000002,3001345,11427,37737,32340,5397,2039,3981,6020,10,12.597343,10.79572,1.8016235,.6806578,1.3289351,2.009593,46038,1640411,1286488,353923,38561,315362,53012,1587399,1360255,14519,13235,7981,89895,163437,51188,173009,69798,16250,60615,59777,67316,36605,93545,23078,193389,21997,114443,90178,227144,20092,15837,191215,82352,108863
3,South,7,West South Central,AR,5,Arkansas,2017,7,21.16266666666666,31.21466666666666,28.5,,,13.10000000000002,3001345,11427,37737,32340,5397,2039,3981,6020,10,12.597343,10.79572,1.8016235,.6806578,1.3289351,2.009593,46038,1640411,1286488,353923,38561,315362,53012,1587399,1360255,14519,13235,7981,89895,163437,51188,173009,69798,16250,60615,59777,67316,36605,93545,23078,193389,21997,114443,90178,227144,20092,15837,191215,82352,108863
4,West,9,Pacific,CA,6,California,2017,1,16.29482758620689,22.24655172413792,23.7,31.3,8.6,11.2,39358497,191380,481943,265241,216702,112814,-137546,-24732,-590,12.274797,6.755528,5.519269,2.8733046,-3.5032136,-.6299091,49512,23538609,17906329,5632280,58117,5574163,230243,23308366,20522926,252336,49183,61856,1145508,1418970,807260,2092123,1047887,609903,1061131,1181049,2002172,256840,1499949,539132,2650902,656010,1793410,1397305,2785440,248875,206293,2330272,538732,1791540
4,West,9,Pacific,CA,6,California,2017,2,16.29482758620689,22.24655172413792,33.7,46,14.8,11.2,39358497,191380,481943,265241,216702,112814,-137546,-24732,-590,12.274797,6.755528,5.519269,2.8733046,-3.5032136,-.6299091,49512,23538609,17906329,5632280,58117,5574163,230243,23308366,20522926,252336,49183,61856,1145508,1418970,807260,2092123,1047887,609903,1061131,1181049,2002172,256840,1499949,539132,2650902,656010,1793410,1397305,2785440,248875,206293,2330272,538732,1791540
4,West,9,Pacific,CA,6,California,2017,3,16.29482758620689,22.24655172413792,32.8,41.3,23.6,11.2,39358497,191380,481943,265241,216702,112814,-137546,-24732,-590,12.274797,6.755528,5.519269,2.8733046,-3.5032136,-.6299091,49512,23538609,17906329,5632280,58117,5574163,230243,23308366,20522926,252336,49183,61856,1145508,1418970,807260,2092123,1047887,609903,1061131,1181049,2002172,256840,1499949,539132,2650902,656010,1793410,1397305,2785440,248875,206293,2330272,538732,1791540
4,West,9,Pacific,CA,6,California,2017,4,16.29482758620689,22.24655172413792,9.6,21.7,9.300000000000001,11.2,39358497,191380,481943,265241,216702,112814,-137546,-24732,-590,12.274797,6.755528,5.519269,2.8733046,-3.5032136,-.6299091,49512,23538609,17906329,5632280,58117,5574163,230243,23308366,20522926,252336,49183,61856,1145508,1418970,807260,2092123,1047887,609903,1061131,1181049,2002172,256840,1499949,539132,2650902,656010,1793410,1397305,2785440,248875,206293,2330272,538732,1791540
4,West,9,Pacific,CA,6,California,2017,5,16.29482758620689,22.24655172413792,,,,11.2,39358497,191380,481943,265241,216702,112814,-137546,-24732,-590,12.274797,6.755528,5.519269,2.8733046,-3.5032136,-.6299091,49512,23538609,17906329,5632280,58117,5574163,230243,23308366,20522926,252336,49183,61856,1145508,1418970,807260,2092123,1047887,609903,1061131,1181049,2002172,256840,1499949,539132,2650902,656010,1793410,1397305,2785440,248875,206293,2330272,538732,1791540
4,West,9,Pacific,CA,6,California,2017,6,16.29482758620689,22.24655172413792,37.7,27.3,11.8,11.2,39358497,191380,481943,265241,216702,112814,-137546,-24732,-590,12.274797,6.755528,5.519269,2.8733046,-3.5032136,-.6299091,49512,23538609,17906329,5632280,58117,5574163,230243,23308366,20522926,252336,49183,61856,1145508,1418970,807260,2092123,1047887,609903,1061131,1181049,2002172,256840,1499949,539132,2650902,656010,1793410,1397305,2785440,248875,206293,2330272,538732,1791540
4,West,9,Pacific,CA,6,California,2017,7,16.29482758620689,22.24655172413792,31.6,24.5,12,11.2,39358497,191380,481943,265241,216702,112814,-137546,-24732,-590,12.274797,6.755528,5.519269,2.8733046,-3.5032136,-.6299091,49512,23538609,17906329,5632280,58117,5574163,230243,23308366,20522926,252336,49183,61856,1145508,1418970,807260,2092123,1047887,609903,1061131,1181049,2002172,256840,1499949,539132,2650902,656010,1793410,1397305,2785440,248875,206293,2330272,538732,1791540
4,West,8,Mountain,CO,8,Colorado,2017,1,14.36875,20.784375,21.6,26.6,6.4,9.199999999999999,5611885,72670,65375,37702,27673,8171,36612,44783,214,11.725301,6.7620234,4.9632773,1.4655056,6.5665269,8.032033,51823,3759409,2786708,972701,35409,937292,50232,3709177,3215832,13534,56046,8855,249912,162945,117843,340093,128828,85664,214046,220080,340497,45333,210874,76783,343494,106689,299351,194965,493345,53591,52187,387567,121056,266511
4,West,8,Mountain,CO,8,Colorado,2017,2,14.36875,20.784375,29.3,33.2,9.4,9.199999999999999,5611885,72670,65375,37702,27673,8171,36612,44783,214,11.725301,6.7620234,4.9632773,1.4655056,6.5665269,8.032033,51823,3759409,2786708,972701,35409,937292,50232,3709177,3215832,13534,56046,8855,249912,162945,117843,340093,128828,85664,214046,220080,340497,45333,210874,76783,343494,106689,299351,194965,493345,53591,52187,387567,121056,266511
4,West,8,Mountain,CO,8,Colorado,2017,3,14.36875,20.784375,27.8,37.1,20.6,9.199999999999999,5611885,72670,65375,37702,27673,8171,36612,44783,214,11.725301,6.7620234,4.9632773,1.4655056,6.5665269,8.032033,51823,3759409,2786708,972701,35409,937292,50232,3709177,3215832,13534,56046,8855,249912,162945,117843,340093,128828,85664,214046,220080,340497,45333,210874,76783,343494,106689,299351,194965,493345,53591,52187,387567,121056,266511
4,West,8,Mountain,CO,8,Colorado,2017,4,14.36875,20.784375,,15,8.800000000000001,9.199999999999999,5611885,72670,65375,37702,27673,8171,36612,44783,214,11.725301,6.7620234,4.9632773,1.4655056,6.5665269,8.032033,51823,3759409,2786708,972701,35409,937292,50232,3709177,3215832,13534,56046,8855,249912,162945,117843,340093,128828,85664,214046,220080,340497,45333,210874,76783,343494,106689,299351,194965,493345,53591,52187,387567,121056,266511
4,West,8,Mountain,CO,8,Colorado,2017,5,14.36875,20.784375,,,,9.199999999999999,5611885,72670,65375,37702,27673,8171,36612,44783,214,11.725301,6.7620234,4.9632773,1.4655056,6.5665269,8.032033,51823,3759409,2786708,972701,35409,937292,50232,3709177,3215832,13534,56046,8855,249912,162945,117843,340093,128828,85664,214046,220080,340497,45333,210874,76783,343494,106689,299351,194965,493345,53591,52187,387567,121056,266511
4,West,8,Mountain,CO,8,Colorado,2017,6,14.36875,20.784375,28.5,23.3,,9.199999999999999,5611885,72670,65375,37702,27673,8171,36612,44783,214,11.725301,6.7620234,4.9632773,1.4655056,6.5665269,8.032033,51823,3759409,2786708,972701,35409,937292,50232,3709177,3215832,13534,56046,8855,249912,162945,117843,340093,128828,85664,214046,220080,340497,45333,210874,76783,343494,106689,299351,194965,493345,53591,52187,387567,121056,266511
4,West,8,Mountain,CO,8,Colorado,2017,7,14.36875,20.784375,27.7,22.6,10,9.199999999999999,5611885,72670,65375,37702,27673,8171,36612,44783,214,11.725301,6.7620234,4.9632773,1.4655056,6.5665269,8.032033,51823,3759409,2786708,972701,35409,937292,50232,3709177,3215832,13534,56046,8855,249912,162945,117843,340093,128828,85664,214046,220080,340497,45333,210874,76783,343494,106689,299351,194965,493345,53591,52187,387567,121056,266511
