division_code,division_name,region_code_,region_name_,state_abbr,state_code,state_name,year,obese_pct_1,obese_pct_2,obese_pct_3,obese_pct_4,obese_pct_5,obese_pct_6,highbloodpress_pct_1,highbloodpress_pct_2,highbloodpress_pct_3,highbloodpress_pct_4,highbloodpress_pct_5,highbloodpress_pct_6,diabetes_pct_1,diabetes_pct_2,diabetes_pct_3,diabetes_pct_4,diabetes_pct_5,diabetes_pct_6,povrate15_1,childpovrate15_1,foodinsec_15_17_1,popestimate_1,npopchg_1,births_1,deaths_1,naturalinc_1,internationalmig_1,domesticmig_1,netmig_1,residual_1,rbirth_1,rdeath_1,rnaturalinc_1,rinternationalmig_1,rdomesticmig_1,rnetmig_1,percap_real_inc_1,povrate15_2,childpovrate15_2,foodinsec_15_17_2,popestimate_2,npopchg_2,births_2,deaths_2,naturalinc_2,internationalmig_2,domesticmig_2,netmig_2,residual_2,rbirth_2,rdeath_2,rnaturalinc_2,rinternationalmig_2,rdomesticmig_2,rnetmig_2,percap_real_inc_2,povrate15_3,childpovrate15_3,foodinsec_15_17_3,popestimate_3,npopchg_3,births_3,deaths_3,naturalinc_3,internationalmig_3,domesticmig_3,netmig_3,residual_3,rbirth_3,rdeath_3,rnaturalinc_3,rinternationalmig_3,rdomesticmig_3,rnetmig_3,percap_real_inc_3,povrate15_4,childpovrate15_4,foodinsec_15_17_4,popestimate_4,npopchg_4,births_4,deaths_4,naturalinc_4,internationalmig_4,domesticmig_4,netmig_4,residual_4,rbirth_4,rdeath_4,rnaturalinc_4,rinternationalmig_4,rdomesticmig_4,rnetmig_4,percap_real_inc_4,povrate15_5,childpovrate15_5,foodinsec_15_17_5,popestimate_5,npopchg_5,births_5,deaths_5,naturalinc_5,internationalmig_5,domesticmig_5,netmig_5,residual_5,rbirth_5,rdeath_5,rnaturalinc_5,rinternationalmig_5,rdomesticmig_5,rnetmig_5,percap_real_inc_5,povrate15_6,childpovrate15_6,foodinsec_15_17_6,popestimate_6,npopchg_6,births_6,deaths_6,naturalinc_6,internationalmig_6,domesticmig_6,netmig_6,residual_6,rbirth_6,rdeath_6,rnaturalinc_6,rinternationalmig_6,rdomesticmig_6,rnetmig_6,percap_real_inc_6
5,South Atlantic,3,South,DE,10,Delaware,2019,23,31.6,35.8,40.5,40.1,32.6,10.2,16.6,19.6,38.7,49.8,61.2,,,7.2,12.6,18.1,24.8,12.86666666666667,20.1,11.2,973764,8285,10683,9454,1229,73,6961,7034,22,11.017701,9.7501965,1.2675049,.075287111,7.17909,7.2543769,50105,12.86666666666667,20.1,11.2,973764,8285,10683,9454,1229,73,6961,7034,22,11.017701,9.7501965,1.2675049,.075287111,7.17909,7.2543769,50105,12.86666666666667,20.1,11.2,973764,8285,10683,9454,1229,73,6961,7034,22,11.017701,9.7501965,1.2675049,.075287111,7.17909,7.2543769,50105,12.86666666666667,20.1,11.2,973764,8285,10683,9454,1229,73,6961,7034,22,11.017701,9.7501965,1.2675049,.075287111,7.17909,7.2543769,50105,12.86666666666667,20.1,11.2,973764,8285,10683,9454,1229,73,6961,7034,22,11.017701,9.7501965,1.2675049,.075287111,7.17909,7.2543769,50105,12.86666666666667,20.1,11.2,973764,8285,10683,9454,1229,73,6961,7034,22,11.017701,9.7501965,1.2675049,.075287111,7.17909,7.2543769,50105
5,South Atlantic,3,South,FL,12,Florida,2017,17.1,27.6,30.4,33.4,34.6,25.4,6.9,14,18.6,32,48,61.2,,1.5,3.4,9.199999999999999,17.4,20.9,18.39701492537313,27.27611940298506,11.89999999999999,20963613,350136,224574,199813,24761,160385,164257,324642,733,10.802776,9.6116877,1.1910887,7.715066,7.9013224,15.616388,45796,18.39701492537313,27.27611940298506,11.89999999999999,20963613,350136,224574,199813,24761,160385,164257,324642,733,10.802776,9.6116877,1.1910887,7.715066,7.9013224,15.616388,45796,18.39701492537313,27.27611940298506,11.89999999999999,20963613,350136,224574,199813,24761,160385,164257,324642,733,10.802776,9.6116877,1.1910887,7.715066,7.9013224,15.616388,45796,18.39701492537313,27.27611940298506,11.89999999999999,20963613,350136,224574,199813,24761,160385,164257,324642,733,10.802776,9.6116877,1.1910887,7.715066,7.9013224,15.616388,45796,18.39701492537313,27.27611940298506,11.89999999999999,20963613,350136,224574,199813,24761,160385,164257,324642,733,10.802776,9.6116877,1.1910887,7.715066,7.9013224,15.616388,45796,18.39701492537313,27.27611940298506,11.89999999999999,20963613,350136,224574,199813,24761,160385,164257,324642,733,10.802776,9.6116877,1.1910887,7.715066,7.9013224,15.616388,45796
5,South Atlantic,3,South,FL,12,Florida,2018,16.6,30.3,33.9,39.4,33.2,27.8,,,,,,,,,,,,,18.39701492537313,27.27611940298506,11.89999999999999,21244317,280704,223066,209998,13068,131600,135530,267130,506,10.569862,9.9506416,.61922014,6.235795,6.4220161,12.657811,46949,18.39701492537313,27.27611940298506,11.89999999999999,21244317,280704,223066,209998,13068,131600,135530,267130,506,10.569862,9.9506416,.61922014,6.235795,6.4220161,12.657811,46949,18.39701492537313,27.27611940298506,11.89999999999999,21244317,280704,223066,209998,13068,131600,135530,267130,506,10.569862,9.9506416,.61922014,6.235795,6.4220161,12.657811,46949,18.39701492537313,27.27611940298506,11.89999999999999,21244317,280704,223066,209998,13068,131600,135530,267130,506,10.569862,9.9506416,.61922014,6.235795,6.4220161,12.657811,46949,18.39701492537313,27.27611940298506,11.89999999999999,21244317,280704,223066,209998,13068,131600,135530,267130,506,10.569862,9.9506416,.61922014,6.235795,6.4220161,12.657811,46949,18.39701492537313,27.27611940298506,11.89999999999999,21244317,280704,223066,209998,13068,131600,135530,267130,506,10.569862,9.9506416,.61922014,6.235795,6.4220161,12.657811,46949
5,South Atlantic,3,South,FL,12,Florida,2019,15.4,21.8,26.8,33.8,31.3,27.6,8.800000000000001,11.5,17.3,32.9,45.6,58.3,,1.7,4.1,9.300000000000001,18.5,23.5,18.39701492537313,27.27611940298506,11.89999999999999,21477737,233420,221695,211692,10003,88678,133910,222588,829,10.37848,9.9101973,.46828273,4.151392,6.2688932,10.420285,47445,18.39701492537313,27.27611940298506,11.89999999999999,21477737,233420,221695,211692,10003,88678,133910,222588,829,10.37848,9.9101973,.46828273,4.151392,6.2688932,10.420285,47445,18.39701492537313,27.27611940298506,11.89999999999999,21477737,233420,221695,211692,10003,88678,133910,222588,829,10.37848,9.9101973,.46828273,4.151392,6.2688932,10.420285,47445,18.39701492537313,27.27611940298506,11.89999999999999,21477737,233420,221695,211692,10003,88678,133910,222588,829,10.37848,9.9101973,.46828273,4.151392,6.2688932,10.420285,47445,18.39701492537313,27.27611940298506,11.89999999999999,21477737,233420,221695,211692,10003,88678,133910,222588,829,10.37848,9.9101973,.46828273,4.151392,6.2688932,10.420285,47445,18.39701492537313,27.27611940298506,11.89999999999999,21477737,233420,221695,211692,10003,88678,133910,222588,829,10.37848,9.9101973,.46828273,4.151392,6.2688932,10.420285,47445
5,South Atlantic,3,South,GA,13,Georgia,2017,16.9,29.1,37,36.2,38.5,29.3,9.1,14.7,22.3,35.6,49.3,62,,2.5,5.5,12.7,19.8,24.5,21.91257861635221,31.96352201257861,13,10410330,108440,129824,82160,47664,20986,39794,60780,-4,12.535981,7.9334807,4.6025004,2.0264366,3.8425624,5.868999,45769,21.91257861635221,31.96352201257861,13,10410330,108440,129824,82160,47664,20986,39794,60780,-4,12.535981,7.9334807,4.6025004,2.0264366,3.8425624,5.868999,45769,21.91257861635221,31.96352201257861,13,10410330,108440,129824,82160,47664,20986,39794,60780,-4,12.535981,7.9334807,4.6025004,2.0264366,3.8425624,5.868999,45769,21.91257861635221,31.96352201257861,13,10410330,108440,129824,82160,47664,20986,39794,60780,-4,12.535981,7.9334807,4.6025004,2.0264366,3.8425624,5.868999,45769,21.91257861635221,31.96352201257861,13,10410330,108440,129824,82160,47664,20986,39794,60780,-4,12.535981,7.9334807,4.6025004,2.0264366,3.8425624,5.868999,45769,21.91257861635221,31.96352201257861,13,10410330,108440,129824,82160,47664,20986,39794,60780,-4,12.535981,7.9334807,4.6025004,2.0264366,3.8425624,5.868999,45769
5,South Atlantic,3,South,GA,13,Georgia,2018,19.8,32.7,34.9,38.6,36.5,29.6,,,,,,,,,,,,,21.91257861635221,31.96352201257861,13,10511131,100801,128547,84569,43978,16863,39981,56844,-21,12.28853,8.0844259,4.2041039,1.612029,3.8220084,5.4340372,46820,21.91257861635221,31.96352201257861,13,10511131,100801,128547,84569,43978,16863,39981,56844,-21,12.28853,8.0844259,4.2041039,1.612029,3.8220084,5.4340372,46820,21.91257861635221,31.96352201257861,13,10511131,100801,128547,84569,43978,16863,39981,56844,-21,12.28853,8.0844259,4.2041039,1.612029,3.8220084,5.4340372,46820,21.91257861635221,31.96352201257861,13,10511131,100801,128547,84569,43978,16863,39981,56844,-21,12.28853,8.0844259,4.2041039,1.612029,3.8220084,5.4340372,46820,21.91257861635221,31.96352201257861,13,10511131,100801,128547,84569,43978,16863,39981,56844,-21,12.28853,8.0844259,4.2041039,1.612029,3.8220084,5.4340372,46820,21.91257861635221,31.96352201257861,13,10511131,100801,128547,84569,43978,16863,39981,56844,-21,12.28853,8.0844259,4.2041039,1.612029,3.8220084,5.4340372,46820
5,South Atlantic,3,South,GA,13,Georgia,2019,15.9,31.4,40.1,37.8,41,29.6,8.699999999999999,15,20.4,41.6,50.1,64.59999999999999,,3,6.8,12.8,19.9,24.5,21.91257861635221,31.96352201257861,13,10617423,106292,127873,86319,41554,15053,49680,64733,5,12.104283,8.1708384,3.9334447,1.4248964,4.702641,6.1275373,47294,21.91257861635221,31.96352201257861,13,10617423,106292,127873,86319,41554,15053,49680,64733,5,12.104283,8.1708384,3.9334447,1.4248964,4.702641,6.1275373,47294,21.91257861635221,31.96352201257861,13,10617423,106292,127873,86319,41554,15053,49680,64733,5,12.104283,8.1708384,3.9334447,1.4248964,4.702641,6.1275373,47294,21.91257861635221,31.96352201257861,13,10617423,106292,127873,86319,41554,15053,49680,64733,5,12.104283,8.1708384,3.9334447,1.4248964,4.702641,6.1275373,47294,21.91257861635221,31.96352201257861,13,10617423,106292,127873,86319,41554,15053,49680,64733,5,12.104283,8.1708384,3.9334447,1.4248964,4.702641,6.1275373,47294,21.91257861635221,31.96352201257861,13,10617423,106292,127873,86319,41554,15053,49680,64733,5,12.104283,8.1708384,3.9334447,1.4248964,4.702641,6.1275373,47294
5,South Atlantic,3,South,MD,24,Maryland,2017,18.4,26.3,36.3,36.7,35.3,31.2,7.8,12.6,17.9,33,48.2,62.6,,,6,10.7,16.6,21.6,11.475,16.7,10.4,6023868,20545,71942,49834,22108,22617,-24054,-1437,-126,11.963225,8.2868891,3.6763363,3.760978,-3.9999366,-.23895854,53102,11.475,16.7,10.4,6023868,20545,71942,49834,22108,22617,-24054,-1437,-126,11.963225,8.2868891,3.6763363,3.760978,-3.9999366,-.23895854,53102,11.475,16.7,10.4,6023868,20545,71942,49834,22108,22617,-24054,-1437,-126,11.963225,8.2868891,3.6763363,3.760978,-3.9999366,-.23895854,53102,11.475,16.7,10.4,6023868,20545,71942,49834,22108,22617,-24054,-1437,-126,11.963225,8.2868891,3.6763363,3.760978,-3.9999366,-.23895854,53102,11.475,16.7,10.4,6023868,20545,71942,49834,22108,22617,-24054,-1437,-126,11.963225,8.2868891,3.6763363,3.760978,-3.9999366,-.23895854,53102,11.475,16.7,10.4,6023868,20545,71942,49834,22108,22617,-24054,-1437,-126,11.963225,8.2868891,3.6763363,3.760978,-3.9999366,-.23895854,53102
5,South Atlantic,3,South,MD,24,Maryland,2018,18.1,27.4,36.9,36.9,35.4,27.9,,,,,,,,,,,,,11.475,16.7,10.4,6035802,11934,71389,50845,20544,15809,-24353,-8544,-66,11.839295,8.4322376,3.4070585,2.6217964,-4.0387506,-1.4169542,54041,11.475,16.7,10.4,6035802,11934,71389,50845,20544,15809,-24353,-8544,-66,11.839295,8.4322376,3.4070585,2.6217964,-4.0387506,-1.4169542,54041,11.475,16.7,10.4,6035802,11934,71389,50845,20544,15809,-24353,-8544,-66,11.839295,8.4322376,3.4070585,2.6217964,-4.0387506,-1.4169542,54041,11.475,16.7,10.4,6035802,11934,71389,50845,20544,15809,-24353,-8544,-66,11.839295,8.4322376,3.4070585,2.6217964,-4.0387506,-1.4169542,54041,11.475,16.7,10.4,6035802,11934,71389,50845,20544,15809,-24353,-8544,-66,11.839295,8.4322376,3.4070585,2.6217964,-4.0387506,-1.4169542,54041,11.475,16.7,10.4,6035802,11934,71389,50845,20544,15809,-24353,-8544,-66,11.839295,8.4322376,3.4070585,2.6217964,-4.0387506,-1.4169542,54041
5,South Atlantic,3,South,MD,24,Maryland,2019,20.8,30.2,34.1,38.4,36.5,30.4,8.1,13.7,22.9,35.6,46,64.2,,2.2,5.1,12,17.3,22.8,11.475,16.7,10.4,6045680,9878,70091,51453,18638,15011,-23665,-8654,-106,11.603046,8.517664,3.0853832,2.4849601,-3.9175658,-1.4326057,54883,11.475,16.7,10.4,6045680,9878,70091,51453,18638,15011,-23665,-8654,-106,11.603046,8.517664,3.0853832,2.4849601,-3.9175658,-1.4326057,54883,11.475,16.7,10.4,6045680,9878,70091,51453,18638,15011,-23665,-8654,-106,11.603046,8.517664,3.0853832,2.4849601,-3.9175658,-1.4326057,54883,11.475,16.7,10.4,6045680,9878,70091,51453,18638,15011,-23665,-8654,-106,11.603046,8.517664,3.0853832,2.4849601,-3.9175658,-1.4326057,54883,11.475,16.7,10.4,6045680,9878,70091,51453,18638,15011,-23665,-8654,-106,11.603046,8.517664,3.0853832,2.4849601,-3.9175658,-1.4326057,54883,11.475,16.7,10.4,6045680,9878,70091,51453,18638,15011,-23665,-8654,-106,11.603046,8.517664,3.0853832,2.4849601,-3.9175658,-1.4326057,54883
